px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.0001	0.0001	0	0	0	0	0	0	0	0	0	3.35965e-322
0.346278	-0.346254	0	0	0	0	0	0	0	0	0	2.0624
1.51763	-0.119159	0.515802	1.38778e-17	-2.77556e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	2.07603
1.62091	0.0179635	1.53449	-0.0783441	-0.0434537	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	9.95505
3.86894	-0.133675	1.79596	-0.0613288	-0.00810751	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	1.83329
3.94172	0.0680199	2.04869	0.297892	0.262631	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	5.33587
6.83368	0.412662	2.61789	0.00562153	0.329648	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	2.59349
6.75516	0.439043	2.64245	0.0459632	0.328805	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.49351
9.06745	0.593041	2.76079	0.148576	0.159574	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.322956
9.03423	0.661968	2.79237	0.222289	0.212393	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.18891
11.5551	1.66081	3.014	0.441915	0.208974	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.596281
11.5284	1.6265	2.87712	0.470607	0.273718	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.599376
13.6029	2.32575	2.6398	0.37794	0.045712	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.391086
13.6136	2.28967	2.68221	0.348134	0.0112532	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.591472
16.5937	2.89548	3.08341	-0.0107772	-0.22605	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	2.14303
16.5324	2.88242	2.97872	-0.0186264	-0.249706	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.940594
19.0113	3.69372	2.87232	0.393796	0.170697	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.640684
19.078	3.71869	2.78377	0.447911	0.235863	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.41621
21.3217	4.73223	2.82704	0.444325	0.0809393	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.130846
21.3821	4.7415	2.94132	0.408606	0.0323235	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.847788
24.0556	5.56611	3.09877	0.189616	-0.12854	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.45782
24.1616	5.60032	3.209	0.178902	-0.133346	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.05989
26.608	6.95191	3.17951	0.625298	0.235851	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.455747
26.5957	6.94317	3.25716	0.586361	0.172789	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.105325
29.5563	8.08061	3.38154	0.245132	-0.162669	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.909389
29.5421	8.07626	3.2475	0.238433	-0.173243	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.199169
31.9453	9.86805	3.23452	0.819424	0.312574	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0.790016
31.9015	9.84363	3.26711	0.780717	0.25573	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.689913
34.622	10.7317	2.68765	0.239374	-0.257684	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	1.91854
34.7209	10.7796	2.96534	0.244661	-0.229939	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.70477
37.1376	12.0772	2.99726	0.589824	0.142058	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.482984
37.2168	12.0978	3.1767	0.546608	0.0635335	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.66395
40.2865	13.4513	3.50739	0.263804	-0.163147	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	1.52647
40.2227	13.4284	3.25544	0.252314	-0.192868	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.27377
42.7662	14.8205	3.25191	0.586141	0.145729	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.385866
42.743	14.8124	3.30975	0.563359	0.110088	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.206694
45.3393	16.5437	3.47322	0.57614	0.0453663	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.310707
45.3853	16.5604	3.40011	0.595453	0.0934183	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.811693
48.1545	17.2942	3.23656	0.152631	-0.250685	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0.494636
48.1291	17.2811	3.06532	0.117845	-0.315979	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.367315
50.6222	19.0532	2.92547	0.837532	0.352089	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	1.6186
50.6032	19.0281	3.10159	0.717511	0.163203	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.524288
53.691	19.8959	3.09746	0.0231281	-0.401384	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	1.90266
53.6616	19.8828	3.04555	0.0143442	-0.42388	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.256738
56.0586	21.0694	2.63636	0.468593	0.142834	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	2.0417
56.0287	21.0499	2.735	0.427886	0.0969107	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.510645
58.643	21.7808	2.88501	0.160604	-0.139581	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.513225
58.6454	21.7861	2.96337	0.181472	-0.106745	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.0544122
60.8776	22.7811	2.86882	0.484763	0.153939	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0.271553
60.8494	22.7703	2.84122	0.481329	0.15384	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.21989
63.3704	23.4109	2.87244	0.139196	-0.163369	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.394792
