px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	3.04035	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	3.08297e-321
8.45053	0.251376	3.03512	0.000681892	2.98284e-05	8.44818	0.251553	8.45	0.25	-3.00027	0	0.0113412
8.47315	0.246548	2.53537	-0.0347063	-0.00440441	8.56759	0.241943	8.45	0.25	0	0	1.06666
8.50325	0.250329	2.45496	-0.0124862	-0.00176608	8.45582	0.253997	8.45	0.25	0	0	0.200438
8.36193	0.233561	0.211705	-0.129781	-0.0385403	8.42544	0.254042	8.35	0.25	-1.81979	0	11.7408
8.32545	0.24143	0.118976	-0.0959468	-0.0307149	8.23962	0.24916	8.25	0.25	-1.81978	0	0.506048
8.0034	0.263462	-2.77415	-0.0763566	-0.0224064	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	45.3257
7.87568	0.247001	-2.78649	-0.0365128	0.0659511	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.508091
7.70289	0.223295	-2.89491	0.134487	0.206303	7.61269	0.155818	7.7	0.15	-2.99982	0	1.67924
7.57441	0.181756	-2.90934	0.226507	0.274157	7.54016	0.159641	7.55	0.15	-2.99982	0	0.112647
7.47606	0.0697772	-2.79659	0.488044	0.51089	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	1.24676
7.34635	0.0190946	-2.7911	0.475942	0.476961	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.025349
7.1823	0.0254925	-2.83186	0.320947	0.150635	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0.854888
7.04152	-0.0362437	-2.83692	0.346066	0.163555	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.0312367
6.94621	-0.161815	-2.73272	0.562771	0.816326	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	6.16951
6.82885	-0.250209	-2.73183	0.617201	0.831255	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.0298298
6.71866	-0.333153	-2.73778	0.659357	0.827142	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.0362199
6.61947	-0.432173	-2.7445	0.716321	0.84687	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0.0907746
6.57658	-0.601396	-2.75865	1.02101	1.57496	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	4.75739
6.51794	-0.704182	-2.73358	1.09152	1.57411	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.261076
6.47281	-0.861773	-2.75643	1.25544	1.76302	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0.542951
6.43757	-1.01657	-2.76331	1.35913	1.76686	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0.0953343
6.32307	-1.105	-2.672	1.19497	1.20148	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	10.7161
6.27044	-1.24431	-2.67566	1.25889	1.19718	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0.0148367
6.36003	-1.44128	-2.74099	1.60633	1.74241	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	21.2737
6.37	-1.60206	-2.75508	1.70149	1.7357	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0.161772
6.30192	-1.70553	-2.64963	1.59773	1.39078	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	16.272
6.29596	-1.85666	-2.67583	1.65665	1.36915	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	0.613968
6.34308	-2.00915	-2.7244	1.7856	1.46828	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	2.85664
6.36863	-2.15654	-2.74401	1.85155	1.45418	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	0.384451
6.35703	-2.29559	-2.68655	1.83994	1.30852	6.32593	-2.40018	6.35	-2.4	0	-2.72613	7.41487
6.38733	-2.45608	-2.70943	1.89849	1.28862	6.34927	-2.55175	6.35	-2.55	0	-2.72611	0.579163
6.43436	-2.60538	-2.72063	1.96288	1.27901	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	0.302915
6.47956	-2.76007	-2.73995	2.01725	1.25876	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	0.503588
6.49526	-2.88375	-2.68797	2.0197	1.17034	6.46536	-3.00452	6.45	-3	0	-2.99754	5.75755
6.52808	-3.03192	-2.71343	2.05067	1.13824	6.44119	-3.14955	6.45	-3.15	0	-2.99754	1.21381
6.58713	-3.17589	-2.72243	2.09834	1.12	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	0.599195
6.63479	-3.33465	-2.74674	2.12918	1.08609	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	1.32664
6.71964	-3.47651	-2.7804	2.1911	1.09355	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	1.15731
6.79326	-3.6285	-2.80381	2.22863	1.06819	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	0.953777
6.86491	-3.7563	-2.77609	2.26003	1.03188	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	2.25657
6.93348	-3.91194	-2.79986	2.2819	0.994646	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	1.55701
7.00476	-4.03547	-2.76644	2.30669	0.957252	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	2.67993
7.06459	-4.19388	-2.78575	2.3131	0.909494	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	2.2332
7.12152	-4.30422	-2.69756	2.32126	0.853103	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	11.1606
7.18003	-4.44938	-2.70449	2.32594	0.810571	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	1.76409
7.25546	-4.56279	-2.66969	2.34656	0.78147	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	2.22668
7.30639	-4.71859	-2.6792	2.33581	0.727069	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	2.74822
7.41245	-4.84824	-2.72636	2.36946	0.724931	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	2.65018
7.46614	-5.00678	-2.73405	2.35301	0.667941	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	2.8967
7.54545	-5.12276	-2.70868	2.36685	0.642409	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.7661
7.59809	-5.28703	-2.7183	2.34277	0.581947	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	3.06489
7.68928	-5.40643	-2.71138	2.35876	0.564166	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.837361
7.75547	-5.55392	-2.71629	2.34656	0.520346	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	1.55108
7.83529	-5.66611	-2.68803	2.35579	0.498566	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	1.54523
7.88699	-5.82359	-2.69062	2.32789	0.442689	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	2.47227
8.00075	-5.94601	-2.77596	2.35566	0.456485	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	9.29101
8.05794	-6.09592	-2.78569	2.32993	0.407163	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	1.95256
8.15277	-6.21611	-2.77316	2.33911	0.391816	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.09127
8.23007	-6.36005	-2.77863	2.32726	0.35797	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.853441
8.31358	-6.474	-2.75316	2.33172	0.3409	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.17511
8.37261	-6.63161	-2.75716	2.3018	0.291884	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	1.72243
8.46201	-6.74927	-2.75259	2.30843	0.282394	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.473778
8.53197	-6.89121	-2.75335	2.29168	0.250088	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.752571
8.60598	-6.99693	-2.73596	2.29254	0.237231	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.709641
8.65542	-7.14178	-2.74012	2.2616	0.194485	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	1.35905
8.76383	-7.26404	-2.80755	2.28061	0.210848	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	6.07472
8.81805	-7.41599	-2.8176	2.24874	0.168517	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	1.40561
8.88465	-7.53727	-2.76053	2.2343	0.137974	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	5.46914
8.94243	-7.68804	-2.76199	2.20754	0.103785	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.867139
9.02129	-7.80552	-2.77113	2.20889	0.101197	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.345187
9.06412	-7.95344	-2.77542	2.17516	0.0627343	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	1.12758
9.10439	-8.07269	-2.69975	2.14643	0.0206928	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	7.44889
9.1541	-8.21662	-2.69721	2.12163	-0.00499051	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.587449
9.23028	-8.33892	-2.71804	2.12415	0.000858188	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.625643
9.26236	-8.4849	-2.72138	2.08886	-0.0338504	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0.984843
9.30141	-8.61485	-2.66926	2.05737	-0.0731132	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	4.43599
9.34026	-8.75889	-2.66603	2.03046	-0.0956523	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.533626
9.48084	-8.89142	-2.80748	2.09839	0.00686744	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	32.1655
9.51775	-9.04818	-2.82222	2.06483	-0.0258941	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0.985817
9.56022	-9.17214	-2.78739	2.04238	-0.0539276	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	2.24192
9.60088	-9.31316	-2.79199	2.01996	-0.0731312	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.311315
9.63663	-9.43702	-2.76186	1.99645	-0.0989548	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.57379
9.65424	-9.59006	-2.76949	1.95814	-0.13141	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0.917725
9.72031	-9.72542	-2.79647	1.96346	-0.113533	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.16548
9.73893	-9.87874	-2.80482	1.92856	-0.141824	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.720808
9.75458	-10.0191	-2.75979	1.88758	-0.186494	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	3.71895
9.78799	-10.1634	-2.75512	1.86932	-0.194464	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.164449
9.82687	-10.3	-2.75573	1.85548	-0.200364	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.530358
9.8365	-10.4471	-2.76105	1.82346	-0.221492	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.443043
9.87934	-10.5929	-2.77137	1.82059	-0.207043	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.861839
9.89963	-10.7473	-2.77324	1.7971	-0.218642	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.145994
9.90491	-10.894	-2.74429	1.75692	-0.257562	9.88465	-10.9383	9.85	-10.9	0	-2.73074	2.15969
9.90854	-11.0482	-2.74489	1.72665	-0.273055	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.307387
9.92458	-11.1831	-2.74322	1.71021	-0.275994	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.0683445
9.91756	-11.3301	-2.74991	1.67809	-0.293231	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.336244
9.93142	-11.4697	-2.7544	1.66384	-0.291772	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.0759963
9.91552	-11.6171	-2.7612	1.62966	-0.310157	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.426332
9.84464	-11.7465	-2.69761	1.52855	-0.431506	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	16.4571
9.81874	-11.8796	-2.69473	1.49504	-0.443044	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.329698
9.79482	-12.0111	-2.68812	1.4613	-0.458363	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.264161
